"樟原","Zhangyuan"
"果稟路","Guobing Rd."
"茅圃","Maopu"
"永吉路","Yongji Rd."
"漢成2街","Hancheng 2nd St."
"沙崙寮","Shalunliao"
"澄新街","Chengxin St."
"東楊路","Dongyang Rd."
"九和1街","Jiuhe 1st St."
"清涼路","Qingliang Rd."
"雲閩","Yunmin"
"東莊巷","Dongzhuang Ln."
"大連2街","Dalian 2nd St."
"星科路","Xingke Rd."
"安家新屯5街","Anjiaxintun 5th St."
"光復東路","Guangfu E. Rd."
"錦屏街","Jinping St."
"正光2街","Zhengguang 2nd St."
"嘉蓮路","Jialian Rd."
"城東3街","Chengdong 3rd St."
"幼平路","Youping Rd."
"建5路","Jian 5th Rd."
"石門花園新城","Shimenhuayuan Xincheng"
"逸境新村","Yijing Vil."
"部子巷","Buzi Ln."
"山文路","Shanwen Rd."
"西全路","Xiquan Rd."
"思源路","Siyuan Rd."
"工業西2路","Gongye W. 2nd Rd."
"霞雲坪","Xiayunping"
"後山仔","Houshanzai"
"南和巷","Nanhe Ln."
"湖東路","Hudong Rd."
"福麗","Fuli"
"大業1路","Daye 1st Rd."
"新埔里","Xinpu Vil."
"龍善路","Longshan Rd."
"石梯灣","Shitiwan"
"五","Ln. 523"
"棒球17街","Bangqiu 17th St."
"直潭4街","Zhitan 4th St."
"通明路","Tongming Rd."
"國聖1街","Guosheng 1st St."
"芝麻3街","Zhima 3rd St."
"舊部","Jiubu"
"燕霧巷","Yanwu Ln."
"新聖路","Xinsheng Rd."
"寶山8街","Baoshan 8th St."
"科工12路","Kegong 12th Rd."
"二聖","Ersheng 3rd Ln."
"園藝巷","Yuanyi Ln."
"陶瓷街","Taoci St."
"安村","Ancun Ln."
"膽曼","Danman"
"北橫4路","Beiheng 4th Rd."
"文育路","Wenyu Rd."
"瓦厝仔","Wacuozai"
"明德1街","Mingde 1st St."
"介壽北路","Jieshou N. Rd."
"三條圳1街","Santiaozun 1st St."
"十六結路","Shiliujie Rd."
"大厝","Dacuo"
"郭岑寮","Guocenliao"
"集美街","Jimei St."
"后珩","Houheng"
"皇城街","Huangcheng St."
"頭家城路","Toujiacheng Rd."
"九房巷","Jiufang Ln."
"安朔","Anshuo"
"家福新屯","Jiafuxintun"
"豆子埔","Douzipu"
"五權6路","Wuquan 6th Rd."
"保東1街","Baodong 1st St."
"影劇一村","Yingju 1st Vil."
"新埔7街","Xinpu 7th St."
"埔墘","Puqian"
"三華巷","Sanhua Ln."
"武廟路","Wumiao Rd."
"文工1街","Wengong 1st St."
"天母北路","Tianmu N. Rd."
"安清路","Anqing Rd."
"永富街","Yongfu St."
"江南14街","Jiangnan 14th St."
"頂崁頭","Dingkantou"
"上崙1街","Shanglun 1st St."
"麥樹仁","Maishuren"
"三堵3路","Sandu 3rd Rd."
"保寧北街","Baoning N. St."
"松山路","Songshan Rd."
"新香街","Xinxiang St."
"和善東路","Heshan E. Rd."
"德昌路","Dechang Rd."
"香潭1街","Xiangtan 1st St."
"大北","Dabei"
"北溪路","Beixi Rd."
"永興2街","Yongxing 2nd St."
"新隆路","Xinlong Rd."
"恩德街","Ende St."
"環美路","Huanmei Rd."
"拔拉","Bala"
"德仁街","Deren St."
"小邦","Xiaobang"
"中美街","Zhongmei St."
"文化北1街","Wenhua N. 1st St."
"北昌4街","Beichang 4th St."
"英4街","Ying 4th St."
"東洲3街","Dongzhou 3rd St."
"瑞明街","Ruiming St."
"鹽埕大路","Yancheng Avenue"
"民治16街","Minzhi 16th St."
"大區","Daqu Ln."
"西勢莊","Xishizhuang"
"民有3街","Minyou 3rd St."
